id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,host_is_superhost
6863691,Gowanus,40.68385,-73.98655,Entire rental unit,Entire home/apt,6,3.0,3.0,313.8,0,21,21,203,35,4.86,0.27,120,37656.0,Yes
6673638,Gravesend,40.60447,-73.97611,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,0,,0.0,0,0.0,No
6674155,Upper East Side,40.7685,-73.96109,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,4,5.0,0.03,0,0.0,No
6676383,Clinton Hill,40.68612,-73.95995,Entire rental unit,Entire home/apt,4,2.0,1.0,216.91500000000002,0,0,0,0,5,4.8,0.04,0,0.0,No
6678082,Bedford-Stuyvesant,40.6828,-73.93271,Entire rental unit,Entire home/apt,3,2.0,3.0,146.25,2,12,42,132,101,4.84,0.78,180,26325.0,Yes
6679063,Hell's Kitchen,40.7603,-73.994,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,2,4.5,0.01,0,0.0,No
6685220,East Flatbush,40.64434,-73.92383,Private room in home,Private room,2,5.0,1.0,44.27,0,0,5,185,3,5.0,0.1,60,2656.0,No
6686140,Nolita,40.72286,-73.9958,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,13,4.85,0.1,0,0.0,No
6688780,Marble Hill,40.87659,-73.90921,Private room in home,Private room,2,1.0,1.0,101.0,0,0,0,0,1,5.0,0.01,0,0.0,No
6690696,Clinton Hill,40.68834,-73.967,Entire rental unit,Entire home/apt,5,2.0,1.0,216.91500000000002,0,0,0,0,1,5.0,0.01,0,0.0,No
6692633,Prospect Heights,40.67752,-73.9673,Entire townhouse,Entire home/apt,8,4.0,4.0,655.46,14,44,74,93,30,4.77,0.23,0,0.0,No
7381893,East New York,40.65965,-73.89428,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,18,4.61,0.14,0,0.0,No
7116273,Sunset Park,40.65876,-73.99908,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,35,4.54,0.26,0,0.0,No
7127684,Bushwick,40.69528,-73.92327,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,0,,0.0,0,0.0,No
7129972,Civic Center,40.7151,-74.00445,Entire rental unit,Entire home/apt,4,1.0,1.0,216.91500000000002,0,0,0,0,8,4.88,0.06,0,0.0,No
7131007,Bedford-Stuyvesant,40.68651,-73.95419,Entire rental unit,Entire home/apt,2,2.0,1.0,216.91500000000002,0,0,0,0,14,4.86,0.11,0,0.0,No
7132891,Bushwick,40.69178,-73.92573,Private room in rental unit,Private room,2,1.0,1.0,84.83,0,0,11,286,24,4.71,0.18,0,0.0,No
7141549,Kips Bay,40.74196,-73.97985,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,24,4.88,0.2,0,0.0,No
7149408,Upper West Side,40.79324,-73.9708,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,0,,0.0,0,0.0,No
7382396,Bedford-Stuyvesant,40.69282,-73.93483,Private room in rental unit,Private room,4,1.0,1.0,101.0,0,0,0,0,19,4.79,0.14,0,0.0,No
7389120,Sheepshead Bay,40.58345031738281,-73.95830535888672,Entire home,Entire home/apt,5,1.0,3.0,555.7,30,60,90,365,80,4.7,0.6,60,33342.0,No
7396662,Lower East Side,40.71574,-73.98962,Private room in condo,Private room,2,1.0,1.0,101.0,0,0,0,0,17,4.65,0.13,0,0.0,No
7397237,Bedford-Stuyvesant,40.68811,-73.94301,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,2,5.0,0.02,0,0.0,No
7398163,Stuyvesant Town,40.73379,-73.98031,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,2,5.0,0.02,0,0.0,No
